question_id,question,answer,score
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,في القرن السابع، في عام 647 م,1
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,في عام 647 م,1
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,647,0.9
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,647 ميلادية,0.9
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,منتصف القرن السابع ,0.5
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,القرن السابع ,0.3
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,عام الف وتسعمائة وسبعة واربعون,1
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,26,0.7
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,26 هجرية,1
1,في أي قرن تم الفتح الإسلامي لبلاد المغرب,عام 26 هجرية,1
2,في أي سنة تأسست جامعة القرويين؟,في سنة 1963م تأسست جامعة القرويين.,1
2,في أي سنة تأسست جامعة القرويين؟,تأسست جامعة القرويين في سنة 1963ميلادية.,1
2,في أي سنة تأسست جامعة القرويين؟,تم تأسيس جامعة القرويين في العقد الستين من القرن العشرين (1963م).,1
2,في أي سنة تأسست جامعة القرويين؟,في ستينيات القرن العشرين (1963م) تأسست جامعة القرويين.,1
2,في أي سنة تأسست جامعة القرويين؟,جامعة القرويين تأسست في سنة 1963م وفقًا للتقويم الميلادي.,1
2,في أي سنة تأسست جامعة القرويين؟,تأسست جامعة القرويين في السنة التي تحمل الرقم 1963 في التقويم الميلادي.,1
2,في أي سنة تأسست جامعة القرويين؟,جامعة القرويين تأسست في ستة وستين وثلاثمائة (1963م) للتقويم الميلادي.,1
2,في أي سنة تأسست جامعة القرويين؟,تم تأسيس جامعة القرويين في السنة 1963م بحسب التقويم الميلادي.,1
2,في أي سنة تأسست جامعة القرويين؟,تأسست جامعة القرويين في السنة 1963م في القرن العشرين.,1
2,في أي سنة تأسست جامعة القرويين؟,في سنة 1963ميلادية تأسست جامعة القرويين.,1
3,متى تم نفي الملك محمد الخامس,1953 ميلادية ,1
3,متى تم نفي الملك محمد الخامس,كان ذالك عام 1953,1
3,متى تم نفي الملك محمد الخامس,سنة 1953,1
3,متى تم نفي الملك محمد الخامس,1953,1
3,متى تم نفي الملك محمد الخامس,1953 م,1
3,متى تم نفي الملك محمد الخامس,تم ذالك عام 1953,1
3,متى تم نفي الملك محمد الخامس,في عام 1953,1
3,متى تم نفي الملك محمد الخامس,في سنة 1953,1
3,متى تم نفي الملك محمد الخامس,تم نفي الملك الراحل محمد الخامس سنة 1953,1
3,متى تم نفي الملك محمد الخامس,كان نفيه سنة 1953,1
4,في أي عام حصل المغرب على الإستقلال,تحقق الاستقلال الفعلي للمغرب في سنة 1956م.,0.9
4,في أي عام حصل المغرب على الإستقلال,في عام 1956م، حصل المغرب على الاستقلال.,0.9
4,في أي عام حصل المغرب على الإستقلال,تمت عملية استقلال المغرب في 1956م.,0.9
4,في أي عام حصل المغرب على الإستقلال,في 18 نوفمبر 1956م، استقل المغرب عن فرنسا.,1
4,في أي عام حصل المغرب على الإستقلال,عام 1956م كان عام استقلال المغرب.,0.9
4,في أي عام حصل المغرب على الإستقلال,بعد فترة طويلة من الاحتلال الفرنسي، استقل المغرب في 1956م.,0.9
4,في أي عام حصل المغرب على الإستقلال,يرجع تاريخ استقلال المغرب إلى عام 1956م.,0.9
4,في أي عام حصل المغرب على الإستقلال,في ستينيات القرن الماضي، حصل المغرب على الاستقلال في 1956م.,0.9
4,في أي عام حصل المغرب على الإستقلال,استقل المغرب عن فرنسا في عام 1956م بعد حركة الاستقلال المغربية.,0.9
4,في أي عام حصل المغرب على الإستقلال,بعد فترة طويلة من النضال، حصل المغرب على الاستقلال في 1956م.,0.9
5,ماهي الدول التي استعمرت المغرب,الدول التي استعمرت المغرب هي فرنسا اسبانيا البرتغال.,1
5,ماهي الدول التي استعمرت المغرب,فرنسا، إسبانيا، والبرتغال كانت من بين الدول التي استعمرت المغرب.,0.9
5,ماهي الدول التي استعمرت المغرب,تم استعمار المغرب من قبل العديد من الدول، بما في ذلك فرنسا وإسبانيا والبرتغال,0.9
5,ماهي الدول التي استعمرت المغرب,استعمرت البرتغال، إسبانيا المغرب.,0.6
5,ماهي الدول التي استعمرت المغرب,فرنسا,0.3
5,ماهي الدول التي استعمرت المغرب,البرتغال,0.3
5,ماهي الدول التي استعمرت المغرب,اسبانيا,0.3
5,ماهي الدول التي استعمرت المغرب,فرنسا وإسبانيا والبرتغال كانت الدول التي استعمرت المغرب.,1
5,ماهي الدول التي استعمرت المغرب,الاحتلال الفرنسي والإسباني والبرتغالي كانوا حاضرين في تاريخ المغرب.,1
5,ماهي الدول التي استعمرت المغرب,كانت فرنسا وإسبانيا والبرتغال من بين الدول التي سيطرت على المغرب واستغلت ثرواته.,1
6,من هو أول ملوك دولة الأدارسة,إدريس الأول هو أول سلطان لدولة الأدارسة.,1
6,من هو أول ملوك دولة الأدارسة,السلطان إدريس الأول كان أول حاكم للدولة الأدارسة.,1
6,من هو أول ملوك دولة الأدارسة,أسس إدريس الأول دولة الأدارسة وكان أول حاكم لها.,1
6,من هو أول ملوك دولة الأدارسة,السلطان إدريس الأول هو مؤسس دولة الأدارسة.,1
6,من هو أول ملوك دولة الأدارسة,كان إدريس الأول أول حاكم لدولة الأدارسة التي أسسها في شمال إفريقيا.,1
6,من هو أول ملوك دولة الأدارسة,إدريس الأول هو شخصية تاريخية مهمة كونه أول حاكم لدولة الأدارسة.,1
6,من هو أول ملوك دولة الأدارسة,المؤسس الأول لدولة الأدارسة هو إدريس الأول.,1
6,من هو أول ملوك دولة الأدارسة,تميزت حكم إدريس الأول بالقوة والحكمة في إدارة الدولة الأدارسة.,0.5
6,من هو أول ملوك دولة الأدارسة,إدريس الأول قاد ثورة على الدولة الأموية وأسس دولة الأدارسة.,0.2
6,من هو أول ملوك دولة الأدارسة,إدريس الأول كان أول حاكم لدولة الأدارسة وكانت حكومته تميزت بالإصلاحات والتنمية.,1
7,من هو أول ملوك دولة المرابطين,يوسف بن تاشفين هو أول سلطان لدولة المرابطين.,1
7,من هو أول ملوك دولة المرابطين,المؤسس الأول لدولة المرابطين هو يوسف بن تاشفين.,1
7,من هو أول ملوك دولة المرابطين,تميزت حكومة يوسف بن تاشفين في دولة المرابطين بالاستقرار والإصلاحات.,1
7,من هو أول ملوك دولة المرابطين,يوسف بن تاشفين قاد حركة المرابطين وأسس دولتهم في شمال إفريقيا.,1
7,من هو أول ملوك دولة المرابطين,أسس يوسف بن تاشفين دولة المرابطين وكان أول حاكم لها.,1
7,من هو أول ملوك دولة المرابطين,دولة المرابطين تأسست بقيادة يوسف بن تاشفين.,1
7,من هو أول ملوك دولة المرابطين,يوسف بن تاشفين كان مؤسسًا وأول حاكم لدولة المرابطين.,1
7,من هو أول ملوك دولة المرابطين,حكم يوسف بن تاشفين في دولة المرابطين كان حكمًا ملهمًا للكثيرين.,1
7,من هو أول ملوك دولة المرابطين,تميزت دولة المرابطين بالاستقرار والأمن تحت حكم يوسف بن تاشفين.,1
7,من هو أول ملوك دولة المرابطين,يوسف بن تاشفين هو القائد الذي أسس دولة المرابطين في القرن الحادي عشر,1
8,من هو أول ملوك دولة السعديين,الحاكم الأول لدولة السعديين هو أبو عبد الله محمد القائم بأمر الله.,1
8,من هو أول ملوك دولة السعديين,أول حاكم لدولة السعديين هو محمد القائم بأمر الله.,1
8,من هو أول ملوك دولة السعديين,محمد القائم بأمر الله هو الحاكم الأول لدولة السعديين.,1
8,من هو أول ملوك دولة السعديين,أبو عبد الله محمد هو أول حاكم لدولة السعديين.,1
8,من هو أول ملوك دولة السعديين,الحاكم الأول لدولة السعديين هو أبو عبد الله محمد.,1
8,من هو أول ملوك دولة السعديين,محمد القائم بأمر الله كان الحاكم الأول لدولة السعديين.,1
8,من هو أول ملوك دولة السعديين,أول حاكم لدولة السعديين هو أبو عبد الله محمد القائم بأمر الله.,1
8,من هو أول ملوك دولة السعديين,السلطان أبو عبد الله محمد القائم بأمر الله هو الحاكم الأول لدولة السعديين.,1
8,من هو أول ملوك دولة السعديين,أبو عبد الله محمد القائم بأمر الله ,1
8,من هو أول ملوك دولة السعديين,الحاكم و أبو عبد الله محمد القائم بأمر الله.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,في عام 1961 تسلّم الملك الحسن الثاني الحكم في المغرب.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,تاريخ 1961 شهد تنصيب الملك الحسن الثاني حاكمًا للمغرب.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,الملك الحسن الثاني صار حاكمًا للمغرب في 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,بدأ حكم الملك الحسن الثاني في المغرب في العام 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,في سنة 1961، تولى الملك الحسن الثاني الحكم في المملكة المغربية.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,المغرب كان تحت حكم الملك الحسن الثاني اعتبارًا من عام 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,تم تنصيب الملك الحسن الثاني حاكمًا للمغرب في 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,في عام 1961، تولى الملك الحسن الثاني الحكم في البلاد.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,حكم الملك الحسن الثاني في المغرب بدأ في 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,1961,1
10,ماهي الأسر التي حكمت المغرب,شهد المغرب حكم العديد من الأسر الحاكمة بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,تعاقبت على حكم المغرب العديد من الأسر الحاكمة مثل الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,عرفت المغرب حكم عدة أسر، منها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,حكمت الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون دولة المغرب.,1
10,ماهي الأسر التي حكمت المغرب,تعاقبت على الحكم في المغرب الأسر الحاكمة العديدة، بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,عرفت الأراضي المغربية حكم العديد من الأسر، بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,شهدت المملكة المغربية حكم العديد من الأسر الحاكمة، من بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,تعاقبت الأسر الحاكمة المختلفة، بما في ذلك الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون، على حكم المملكة المغربية.,1
10,ماهي الأسر التي حكمت المغرب,عرف المغرب حكم العديد من الأسر الحاكمة، بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,شهدت الأراضي المغربية حكم أسر متعددة، ومنها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
